"Institution","WebLink"
"National Defense University, Institute for National Strategic Studies","<a href=http://inss.ndu.edu/>RStudio</a>"
"Navy War College","<a href=https://usnwc.edu/Research-and-Wargaming/Research-Centers/Russia-Maritime-Studies-Institute>RStudio</a>"
"Army War College",""
"Air University, Air War College",""
"Marine Corps War College",""
"Foreign Military Studies Office",""
"Kennan Institute, Wilson Center","<a href=https://www.wilsoncenter.org/program/kennan-institute>RStudio</a>"
"Brookings",""
"Carnegie Endowment for International Peace","<a href=https://carnegieendowment.org/programs/russia/>RStudio</a>"
"Carnegie Endowment for International Peace",""
"Carnegie Endowment for International Peace",""
"Carnegie Endowment for International Peace",""
"Center for Budgetary and Strategic Analysis","<a href=https://csbaonline.org/>RStudio</a>"
"Center for the New American Security","<a href=https://www.cnas.org/research/transatlantic-security/russia>RStudio</a>"
"Center for Strategic and International Studies","<a href=https://www.csis.org/regions/russia-and-eurasia>RStudio</a>"
"Foreign Policy Research Institute","<a href=https://www.fpri.org/research/eurasia/>RStudio</a>"
"Atlantic Council","<a href=http://www.atlanticcouncil.org/programs/eurasia-center>RStudio</a>"
"Potomac Foundation","<a href=http://e8y.dcd.mwp.accessdomain.com/our-work/>RStudio</a>"
"Center for European Policy Analysis","<a href=https://www.cepa.org/>RStudio</a>"
"Center for Naval Analyses","<a href=https://www.cna.org/centers/>RStudio</a>"
"RAND","<a href=https://www.rand.org/international/cre.html>RStudio</a>"
"RAND","<a href=https://www.rand.org/international/cre.html>RStudio</a>"
"RAND","<a href=https://www.rand.org/international/cre.html>RStudio</a>"
"RAND","<a href=https://www.rand.org/international/cre.html>RStudio</a>"
"Institute for Defense Analysis","<a href=https://www.ida.org/>RStudio</a>"
"MITRE",""
"Harvard University, Davis Center","<a href=https://daviscenter.fas.harvard.edu/>RStudio</a>"
"Harvard University, Belfer Center for Science and International Affairs","<a href=https://www.belfercenter.org/>RStudio</a>"
"Columbia University, Harriman Institute for Russian, Eurasian, and East European Studies","<a href=https://harriman.columbia.edu/>RStudio</a>"
"Columbia University, Graduate School of International and Public Affairs","<a href=https://sipa.columbia.edu/>RStudio</a>"
"Indiana University, Russia and East European Institute","<a href=http://www.indiana.edu/~reeiweb/>RStudio</a>"
"Stanford University, Center for International Security and Cooperation",""
"Stanford University, Hoover Institution","<a href=https://www.hoover.org/>RStudio</a>"
"Georgetown University, Walsh School of Foreign Service",""
"Johns Hopkins University, School of Advanced International Studies","<a href=https://www.sais-jhu.edu/>RStudio</a>"
"Johns Hopkins University, Applied Physics Laboratory","<a href=https://www.jhuapl.edu/>RStudio</a>"
"University of Virginia",""
"University of Pennsylvania",""
"Institute for International Strategic Studies",""
"Chatham House",""
"Royal United Services Institute",""
"Center for Euopean Policy Studies",""
"Bundesakademie fuer Sicherheitspolitk",""
"Stiftung Wissenschaft und Politik (SWG) German Institute for International Affairs and Security Studies",""
"Forschungstelle Osteuropa (FSO) Research Centre for East European Studies at the University of Bremen",""
"Deutsche Gesellschaft f<fc>r Ausw<e4>rtige Politik (<U+0093>German Council on Foreign Relations<U+0093>)",""
"European Union Institute for Strategic Studies",""
"Institut Francais des Relations Internationales ",""
"Norwegian Institute for Defence Studies","<a href=https://forsvaret.no/ifs/en>RStudio</a>"
"Swedish Defense Research Agency (FOI)",""
"Internaitonal Centre for Defense and Security",""
"NATO Cooperative Cyber Defense Center of Excellence",""
"Baltic Defense College","<a href=https://www.baltdefcol.org/>RStudio</a>"
"National Defense Academy of Latvia, Center for Defense Research","<a href=https://www.naa.mil.lv/en/frontpage>RStudio</a>"
"NATO Energy Security Center of Excellence",""
"The European Centre of Excellence for Countering Hybrid Threats","<a href=https://www.hybridcoe.fi/>RStudio</a>"
"Polish Institute of International Affairs","<a href=http://www.pism.pl/home>RStudio</a>"
"Institute of World Economy and International Relations",""
"Council for Foreign and Defense Policy",""
"Russian Institute for Strategic Studies",""
"Moscow State Institute of International Relations",""
"DADO (Israel)",""
"Interdisciplinary Center Herzliya",""
"Jaffee Center for Strategic Studies",""
"Headquarters European Command",""
"Centre for Analysis of Strategies and Technologies",""
"George C. Marshall Center European Center for Security Studies",""
"Henry Jackson Society","<a href=https://henryjacksonsociety.org/russia-eurasia-studies-centre/>RStudio</a>"
"Institute of International Relations, Trinidad and Tobago","<a href=https://sta.uwi.edu/iir/>RStudio</a>"
"Argentine Council for International Relations","<a href=http://www.cari.org.ar/regiones/europarusia.html>RStudio</a>"
"Australian Institute of International Affairs","<a href=http://www.internationalaffairs.org.au/publications/>RStudio</a>"
"Centre for Military, Security and Strategic Studies: University of Calgary","<a href=https://cmss.ucalgary.ca/research>RStudio</a>"
"Australia National University, Asia & the Pacific","<a href=http://asiapacific.anu.edu.au/>RStudio</a>"
"Bangladesh Institute of International and Strategic Studies","<a href=http://biiss.org/>RStudio</a>"
"Indpendent Institute of Socio-Economic and Political Studies","<a href=http://www.iiseps.org/?lang=en>RStudio</a>"
"Cambodian Institute for Cooperation and Peace","<a href=http://www.cicp.org.kh/>RStudio</a>"
"Institute for Development and International Relations","<a href=https://www.irmo.hr/hr/>RStudio</a>"
"Al-Ahram Center for Political & Strategic Studies","<a href=http://acpss.ahram.org.eg/>RStudio</a>"
"Ethiopian Foreign Relation Strategic Studies Institute","<a href=http://efrssi.org/>RStudio</a>"
"Caucasus Institute for Peace, Democracy and Development","<a href=http://www.cipdd.org/index.php?Cat=NeWs&Cid=49&LanG=>RStudio</a>"
"David C. Lam Institute for East-West Studies","<a href=http://lewi.hkbu.edu.hk/>RStudio</a>"
"Institute for Defence Studies and Analyses","<a href=https://idsa.in/europeandeurasia>RStudio</a>"
"Institute of Peace and Conflict Studies","<a href=http://www.ipcs.org/>RStudio</a>"
"Centre for Strategic and International Studies","<a href=https://www.csis.or.id/>RStudio</a>"
"Institute of International & European Affairs","<a href=https://www.iiea.com/>RStudio</a>"
"Australian Strategic Policy Institute","<a href=https://www.aspi.org.au/>RStudio</a>"
"Institute for National Security Studies","<a href=https://www.inss.org.il/subjects_tags/russia/>RStudio</a>"
"Japan Institute of International Affairs","<a href=http://www2.jiia.or.jp/en/topics_russia_cis.php>RStudio</a>"
"National Institute for Defense Studies","<a href=http://www.nids.mod.go.jp/english/research/index.html>RStudio</a>"
"Center for Strategic Studies","<a href=http://jcss.org/Default.aspx>RStudio</a>"
"Institute of Strategic and International Studies Malaysia","<a href=https://www.isis.org.my/>RStudio</a>"
"Institute of Foreign Affairs Nepal","<a href=http://ifa.org.np/>RStudio</a>"
"Centre for Strategic Studies, Victoria University of Wellington","<a href=https://www.victoria.ac.nz/strategic-studies>RStudio</a>"
"Institute of Defence and Strategic Studies","<a href=https://www.rsis.edu.sg/research/idss/>RStudio</a>"
"Singapore Institute of International Affairs","<a href=http://www.siiaonline.org/tag/russia/>RStudio</a>"
"South African Institute of Internaitonal Affairs","<a href=https://saiia.org.za/>RStudio</a>"
"Institute for Security Studies","<a href=https://issafrica.org/>RStudio</a>"
"Institute of Foreign Affairs and National Security","<a href=http://www.ifans.go.kr/knda/ifans/eng/main/IfansEngMain.do>RStudio</a>"
"Korea Institute for International Economic Policy","<a href=http://www.kiep.go.kr/eng/>RStudio</a>"
"Regional Centre for Strategic Studies",""
"Institute of International Relations ","<a href=https://iir.nccu.edu.tw/intro/pages.php?ID=intro1&submenu=intro1&menu=mastermenu2>RStudio</a>"
"Emirates Center for Strategic Studies and Research",""
"European Union Institute for Security Studies","<a href=https://www.iss.europa.eu/>RStudio</a>"
"Centre for Economics and Foreign Policy Studies","<a href=http://edam.org.tr/en/about-us/>RStudio</a>"
"Italian Institute for International Political Studies","<a href=https://www.ispionline.it/en/ricerca/russia-caucaso-e-asia-centrale>RStudio</a>"
"Centre for Military Studies Department of Political Science","<a href=https://cms.polsci.ku.dk/english/publications/>RStudio</a>"
"Clingendael, Netherlands Institute of International Relations ","<a href=https://www.clingendael.org/>RStudio</a>"
"Centro Brasileiro de Rela<e7><f5>es Internacionais","<a href=http://www.cebri.org/eng/publications>RStudio</a>"
"Belgrade Centre for Security Policy","<a href=http://www.bezbednost.org/Bezbednost/2001/English.shtml>RStudio</a>"
"Peace Research Institute Oslo","<a href=https://www.prio.org/>RStudio</a>"
"Barcelona Centre for International Affairs","<a href=https://www.cidob.org/en/areas_of_research/regions/europe>RStudio</a>"
"Razumkov Centre","<a href=http://razumkov.org.ua/en/>RStudio</a>"
"Centre for International Governance Innovation","<a href=https://www.cigionline.org/research>RStudio</a>"
"Slovak Foreign Policy Association","<a href=http://www.sfpa.sk/en/topic/eastern-europe/>RStudio</a>"
"Institute for Foreign Affairs and Trade","<a href=https://www.globsec.org/partners/hungarian-institute-international-affairs-hiia/>RStudio</a>"
"Center for Economic & Social Development","<a href=http://www.cesd.az/>RStudio</a>"
"Casimir Pulaski Foundation","<a href=https://pulaski.pl/en/>RStudio</a>"
"Kazakhstan Institute for Strategic Studies","<a href=http://kisi.kz/index.php/ru/>RStudio</a>"
"Armenian Center for National and International Studies","<a href=https://www.acnis.am/en/>RStudio</a>"
"Gulf Research Center","<a href=http://www.grc.net/index.php>RStudio</a>"
"Kofi Annan Internaitonal Peacekeeping Training Centre","<a href=https://www.kaiptc.org/>RStudio</a>"
"Hellenic Foundation for European & Foreign Policy","<a href=https://www.eliamep.gr/en/>RStudio</a>"
"Eastern Europe Studies Centre","<a href=http://www.eesc.lt/en/>RStudio</a>"
